,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
0,False,/44YfHklKam8COMUxDZop2Lnp0CS.jpg,"[28, 80, 53]",668489,en,Havoc,"When a drug heist swerves lethally out of control, a jaded cop fights his way through a corrupt city's criminal underworld to save a politician's son.",584.7785,/r46leE6PSzLR3pnVzaxx5Q30yUF.jpg,2025-04-25,Havoc,False,6.6,330
1,False,/fTrQsdMS2MUw00RnzH0r3JWHhts.jpg,"[28, 80, 53]",1197306,en,A Working Man,"Levon Cade left behind a decorated military career in the black ops to live a simple life working construction. But when his boss's daughter, who is like family to him, is taken by human traffickers, his search to bring her home uncovers a world of corruption far greater than he ever could have imagined.",581.2791,/xUkUZ8eOnrOnnJAfusZUqKYZiDu.jpg,2025-03-27,A Working Man,False,6.442,498
2,False,/2Nti3gYAX513wvhp8IiLL6ZDyOm.jpg,"[10751, 35, 12, 14]",950387,en,A Minecraft Movie,"Four misfits find themselves struggling with ordinary problems when they are suddenly pulled through a mysterious portal into the Overworld: a bizarre, cubic wonderland that thrives on imagination. To get back home, they'll have to master this world while embarking on a magical quest with an unexpected, expert crafter, Steve.",408.6823,/iPPTGh2OXuIv6d7cwuoPkw8govp.jpg,2025-04-03,A Minecraft Movie,False,6.2,765
3,False,/1AWjIUgbZYaKbwUH5qoJaKCcRkf.jpg,[99],1471014,en,Van Gogh by Vincent,"In a career that lasted only ten years, Vincent Van Gogh painted one subject more than any other: himself. This is the story of Vincent told using eight of his most iconic self-portraits.",389.5467,/z73X4WKZghBh5fri31o8P6vBEB2.jpg,2025-03-26,Van Gogh by Vincent,False,6.1,4
4,False,/Zes06xI18u47pblwRGTtqRm0R8.jpg,"[28, 53, 80, 18]",1276073,ja,新幹線大爆破,"When panic erupts on a Tokyo-bound bullet train that will explode if it slows below 100 kph, authorities race against time to save everyone on board.",326.4027,/qkTKtOHK9JEEOHgPQZ0dFtzs5ML.jpg,2025-04-23,Bullet Train Explosion,False,6.733,101
5,False,/op3qmNhvwEvyT7UFyPbIfQmKriB.jpg,"[28, 14, 12]",324544,en,In the Lost Lands,"A queen sends the powerful and feared sorceress Gray Alys to the ghostly wilderness of the Lost Lands in search of a magical power, where she and her guide, the drifter Boyce, must outwit and outfight both man and demon.",288.7711,/dDlfjR7gllmr8HTeN6rfrYhTdwX.jpg,2025-02-27,In the Lost Lands,False,6.319,304
6,False,/kFXtAwJYbRTqiyQpE9kDc8qEP3X.jpg,"[28, 53]",1225915,hi,ज्वेल थीफ: द हीस्ट बिगिन्स,"In this high-octane battle of wits and wills, ingenious con artist Rehan devises a diamond heist while trying to outsmart Rajan, his sadistic adversary.",271.0703,/eujLbO0kf1eqWC8XpHUJdtAVW2J.jpg,2025-04-25,Jewel Thief: The Heist Begins,False,6.765,17
7,False,/4eC0tsU9OxR3Adlo1yRJYUDraW9.jpg,"[28, 53]",1092899,en,The Siege,"International assassin Walker is compromised during a mission and sent to a reassignment center for a new identity. During his stay at the facility, a ruthless assault team storms the compound searching for someone their boss has lost. Walker begrudgingly falls in with skilled hitwoman Elda and her mysterious ward Juliet in order to survive the night.",248.6815,/hVh4hMzkXNLnScudbid6hDvjMPk.jpg,2023-03-10,The Siege,False,5.455,44
8,False,/bFmziv84NfEVEGTK8c6EVY3bxve.jpg,"[28, 80, 9648, 53]",1180906,en,Desert Dawn,A newly appointed small-town sheriff and his begrudging deputy get tangled up in a web of lies and corruption involving shady businessmen and the cartel while investigating the murder of a mysterious woman.,248.4328,/S21BfLrJSD9njucBfY3CKqp8rD.jpg,2025-05-15,Desert Dawn,False,0.0,0
9,False,/jhL4eTpccoZSVehhcR8DKLSBHZy.jpg,"[28, 53, 878]",822119,en,Captain America: Brave New World,"After meeting with newly elected U.S. President Thaddeus Ross, Sam finds himself in the middle of an international incident. He must discover the reason behind a nefarious global plot before the true mastermind has the entire world seeing red.",247.2469,/pzIddUEMWhWzfvLI3TwxUG2wGoi.jpg,2025-02-12,Captain America: Brave New World,False,6.2,1672
10,False,/oUgVgGaNqV9Y0Zdyjc1kCpzIe4G.jpg,"[27, 53]",1233413,en,Sinners,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.",229.0284,/jYfMTSiFFK7ffbY2lay4zyvTkEk.jpg,2025-04-17,Sinners,False,7.6,465
11,False,/6dC7ULfiutxwEAs7LjWHL2Tc7Zv.jpg,"[27, 35]",1124620,en,The Monkey,"When twin brothers find a mysterious wind-up monkey, a series of outrageous deaths tear their family apart. Twenty-five years later, the monkey begins a new killing spree forcing the estranged brothers to confront the cursed toy.",208.1398,/yYa8Onk9ow7ukcnfp2QWVvjWYel.jpg,2025-02-14,The Monkey,False,5.882,536
12,False,/sQa299yggIkxfwKJFgzYwDdsC9t.jpg,"[878, 27, 53]",931349,en,Ash,A woman wakes up on a distant planet and finds the crew of her space station viciously killed. Her investigation into what happened sets in motion a terrifying chain of events.,185.4183,/5Oz39iyRuztiA8XqCNVDBuy2Ut3.jpg,2025-03-20,Ash,False,5.359,142
13,False,/1YMrOtrW7b4pL2lfD8UciZPOJGs.jpg,"[18, 53, 9648]",974576,en,Conclave,"After the unexpected death of the Pope, Cardinal Lawrence is tasked with managing the covert and ancient ritual of electing a new one. Sequestered in the Vatican with the Catholic Church’s most powerful leaders until the process is complete, Lawrence finds himself at the center of a conspiracy that could lead to its downfall.",165.2819,/l4WXg5oQPK6GVlISKQNIUGb8rKJ.jpg,2024-10-25,Conclave,False,7.209,2177
14,False,/ddIkmH3TpR6XSc47jj0BrGK5Rbz.jpg,"[10752, 28, 18]",374720,en,Dunkirk,"The story of the miraculous evacuation of Allied soldiers from Belgium, Britain, Canada and France, who were cut off and surrounded by the German army from the beaches and harbour of Dunkirk between May 26th and June 4th 1940 during World War II.",150.5864,/b4Oe15CGLL61Ped0RAS9JpqdmCt.jpg,2017-07-27,Dunkirk,False,7.45,16755
15,False,/k32XKMjmXMGeydykD32jfER3BVI.jpg,"[28, 9648, 18]",1045938,en,G20,"After the G20 Summit is overtaken by terrorists, President Danielle Sutton must bring all her statecraft and military experience to defend her family and her fellow leaders.",150.2027,/wv6oWAleCJZUk5htrGg413t3GCy.jpg,2025-04-09,G20,False,6.6,403
16,False,/svLj9iyRmmeNVRsMreANn7DPPZE.jpg,[27],1356236,en,Saint Catherine,An orphaned girl is rescued from a satanic ritual and taken to Saint Catherine Institute for homeless youth. There she will learn new skills while facing demons that stalk her.,143.6118,/hBJdzKPeDaC96AzlrtMWBomYSZV.jpg,2025-04-11,Saint Catherine,False,7.75,4
17,False,/bMdSmfI0qwpAkvhAL7sqpjmwgf4.jpg,"[878, 18]",335984,en,Blade Runner 2049,"Thirty years after the events of the first film, a new blade runner, LAPD Officer K, unearths a long-buried secret that has the potential to plunge what's left of society into chaos. K's discovery leads him on a quest to find Rick Deckard, a former LAPD blade runner who has been missing for 30 years.",143.5877,/gajva2L0rPYkEWjzgFlBXCAVBE5.jpg,2017-10-05,Blade Runner 2049,False,7.579,14075
18,False,/hdHIjZxq3SWFqpAz4NFhdbud0iz.jpg,"[27, 878]",348,en,Alien,"During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed.",142.8897,/vfrQk5IPloGg1v9Rzbh2Eg3VGyM.jpg,1979-05-25,Alien,False,8.163,15238
19,False,/sNx1A3822kEbqeUxvo5A08o4N7o.jpg,"[28, 35, 53]",1195506,en,Novocaine,"When the girl of his dreams is kidnapped, everyman Nate turns his inability to feel pain into an unexpected strength in his fight to get her back.",139.3755,/xmMHGz9dVRaMY6rRAlEX4W0Wdhm.jpg,2025-03-12,Novocaine,False,6.888,642
20,False,/sNx1A3822kEbqeUxvo5A08o4N7o.jpg,"[28, 35, 53]",1195506,en,Novocaine,"When the girl of his dreams is kidnapped, everyman Nate turns his inability to feel pain into an unexpected strength in his fight to get her back.",125.4155,/xmMHGz9dVRaMY6rRAlEX4W0Wdhm.jpg,2025-03-12,Novocaine,False,6.893,644
21,False,/r4X2xRrWleVgx0kahP27xRmm3ia.jpg,"[27, 53]",1083968,en,Locked,"When Eddie breaks into a luxury SUV, he steps into a deadly trap set by William, a self-proclaimed vigilante delivering his own brand of twisted justice. With no means of escape, Eddie must fight to survive in a ride where escape is an illusion, survival is a nightmare, and justice shifts into high gear.",116.2046,/hhkiqXpfpufwxVrdSftzeKIANl3.jpg,2025-03-20,Locked,False,6.172,90
22,False,/rdxdvXQGqCj2Vb7SvTL8gdxlSzI.jpg,"[80, 53, 28]",870028,en,The Accountant 2,"When an old acquaintance is murdered, Wolff is compelled to solve the case. Realizing more extreme measures are necessary, Wolff recruits his estranged and highly lethal brother, Brax, to help. In partnership with Treasury Agent Marybeth Medina, they uncover a deadly conspiracy, becoming targets of a ruthless network of killers who will stop at nothing to keep their secrets buried.",128.1468,/kMDUS7VmFhb2coRfVBoGLR8ADBt.jpg,2025-04-23,The Accountant 2,False,7.312,85
23,False,/1w8kutrRucTd3wlYyu5QlUDMiG1.jpg,"[12, 10751, 16]",762509,en,Mufasa: The Lion King,"Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny.",126.0513,/lurEK87kukWNaHd0zYnsi3yzJrs.jpg,2025-03-26,Mufasa: The Lion King,False,7.413,2036
24,False,/eDBZN0TbWkxoAB0qIDFagVcPPTN.jpg,"[27, 14, 35, 12]",1153714,en,Death of a Unicorn,"A father and daughter accidentally hit and kill a unicorn while en route to a weekend retreat, where his billionaire boss seeks to exploit the creature’s miraculous curative properties.",199.7943,/lXR32JepFwD1UHkplWqtBP1K79z.jpg,2025-03-27,Death of a Unicorn,False,6.119,101
25,False,/zo8CIjJ2nfNOevqNajwMRO6Hwka.jpg,"[16, 12, 10751, 35]",1241982,en,Moana 2,"After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.",114.873,/aLVkiINlIeCkcZIzb7XHzPYgO6L.jpg,2025-03-12,Moana 2,False,7.077,2300
26,False,/zOpe0eHsq0A2NvNyBbtT6sj53qV.jpg,"[28, 878, 35, 10751]",939243,en,Sonic the Hedgehog 3,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched in every way, Team Sonic must seek out an unlikely alliance in hopes of stopping Shadow and protecting the planet.",116.0265,/d8Ryb8AunYAuycVKDp5HpdWPKgC.jpg,2024-12-19,Sonic the Hedgehog 3,False,7.725,2488
27,False,/1hBtO9tXP60IFBZD27OsbaBmxs5.jpg,"[37, 28]",1414048,en,Day of Reckoning,"Put-upon lawman John Dorsey is on the verge of losing his wife and his job as sheriff, so he posses up with bullish U.S. Marshall Butch Hayden to hold outlaw Emily Rusk hostage. A battle of wills ensues as Emily turns the posse on themselves, but as her marauding husband and his gang approach, Emily and John realize they will need each other to survive.",196.0143,/cVSjSQryFUERYSdOmdgJ2m0eBte.jpg,2025-03-28,Day of Reckoning,False,5.438,8
28,False,/aPEhtVLrZRnJufKHwbHgqwirv7J.jpg,"[28, 12, 14]",297762,en,Wonder Woman,An Amazon princess comes to the world of Man in the grips of the First World War to confront the forces of evil and bring an end to human conflict.,137.0667,/v4ncgZjG2Zu8ZW5al1vIZTsSjqX.jpg,2017-05-30,Wonder Woman,False,7.216,20185
29,False,/hgTTonx5TLeIvwbFUGMsKYqsd4J.jpg,[18],376867,en,Moonlight,"The tender, heartbreaking story of a young man’s struggle to find himself, told across three defining chapters in his life as he experiences the ecstasy, pain, and beauty of falling in love, while grappling with his own sexuality.",102.4949,/rcICfiL9fvwRjoWHxW8QeroLYrJ.jpg,2016-10-21,Moonlight,False,7.4,7155
30,False,/vNUwK5P42m81uG57kKI1WxSZwIQ.jpg,"[35, 10749]",1403735,te,లైలా,"Sonu Model, a renowned beautician from the old city, is forced to disguise himself as Laila, leading to a series of comedic, romantic, and action-packed events. Chaos ensues in this hilarious laugh riot",109.2595,/l4gsNxFPGpzbq0D6QK1a8vO1lBz.jpg,2025-02-14,Laila,False,5.0,3
31,False,/zksO4lVnRKRoaSYzh2EDn2Z3Pel.jpg,"[37, 28]",1293286,en,Gunslingers,"When the most wanted man in America surfaces in a small Kentucky town, his violent history -- and a blood-thirsty mob seeking vengeance and a king’s ransom -- soon follow. As brothers face off against one another and bullets tear the town to shreds, this lightning-fast gunslinger makes his enemies pay the ultimate price for their greed.",98.084,/O7REXWPANWXvX2jhQydHjAq2DV.jpg,2025-04-11,Gunslingers,False,6.543,46
32,False,/3lEV4CoKoeT2cZ4fbKEJugZcw6Z.jpg,"[27, 9648]",1244944,en,The Woman in the Yard,"In the aftermath of her husband's death, widow Ramona's struggle to raise her two kids is hindered by the arrival of a mysterious woman with supernatural abilities.",95.6412,/n0WS2TsNcS6dtaZKzxipyO7LuCJ.jpg,2025-03-27,The Woman in the Yard,False,6.139,115
33,False,/6GGsUgmef5MIfJnnp2fGvkFWRg6.jpg,"[10749, 35, 18]",1059073,en,Winter Spring Summer or Fall,"Remi and Barnes, two very different teenagers, meet by chance in the winter of their senior year, then spend four  days together over the course of a year that will change their lives forever.",103.2058,/mEPi5ISa5RmzpzeDfwkhX0CcNsf.jpg,2024-12-27,Winter Spring Summer or Fall,False,7.1,61
34,False,/2CcMG34v4PCynvxwmBUwVtNqsKL.jpg,"[9648, 53]",1249213,en,Drop,"Violet, a widowed mother on her first date in years, arrives at an upscale restaurant where she is relieved that her date, Henry, is more charming and handsome than she expected. But their chemistry begins to curdle as Violet begins being irritated and then terrorized by a series of anonymous drops to her phone.",136.0832,/dS2S5lpfgRIRQOb7LDCjNsQqKjp.jpg,2025-04-10,Drop,False,6.594,176
35,False,/mDfJG3LC3Dqb67AZ52x3Z0jU0uB.jpg,"[12, 28, 878]",299536,en,Avengers: Infinity War,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",78.8835,/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,2018-04-26,Avengers: Infinity War,False,8.235,30468
36,False,/qAzYK4YPSWDc7aa4R43LcwRIAyb.jpg,"[28, 12, 878]",299537,en,Captain Marvel,"The story follows Carol Danvers as she becomes one of the universe’s most powerful heroes when Earth is caught in the middle of a galactic war between two alien races. Set in the 1990s, Captain Marvel is an all-new adventure from a previously unseen period in the history of the Marvel Cinematic Universe.",100.743,/AtsgWhDnHTq68L0lLsUrCnM7TjG.jpg,2019-03-06,Captain Marvel,False,6.802,15995
37,False,/fZFSvqWsN8bQiwVmJmcgeoL9awe.jpg,"[28, 12, 18, 10751]",38575,en,The Karate Kid,"Twelve-year-old Dre Parker could have been the most popular kid in Detroit, but his mother's latest career move has landed him in China. Dre immediately falls for his classmate Mei Ying but the cultural differences make such a friendship impossible. Even worse, Dre's feelings make him an enemy of the class bully, Cheng. With no friends in a strange land, Dre has nowhere to turn but maintenance man Mr. Han, who is a kung fu master. As Han teaches Dre that kung fu is not about punches and parries, but maturity and calm, Dre realizes that facing down the bullies will be the fight of his life.",79.3344,/qV8xTWfknTOSErSa0b9Iay2QztS.jpg,2010-06-10,The Karate Kid,False,6.548,6150
38,False,/b5QnSrjDRHUFg3hpjmwBwsJfzyP.jpg,"[14, 28, 53, 878]",346672,en,Underworld: Blood Wars,"Vampire death dealer Selene fends off brutal attacks from both the Lycan clan and the Vampire faction that betrayed her. With her only allies, David and his father Thomas, she must stop the eternal war between Lycans and Vampires, even if it means she has to make the ultimate sacrifice.",118.8398,/v1ciDCWMG47gdT4kMyjyQbnLQQn.jpg,2016-11-24,Underworld: Blood Wars,False,5.897,3740
39,False,/5g9wIe8Q8GFPdVLSmC372gvZfci.jpg,"[27, 53, 35]",1055451,en,Founders Day,A small town is shaken by a series of ominous killings in the days leading up to a heated mayoral election.,84.1852,/ohzLPC9lHUWseBgB7HRcz0GBkFb.jpg,2024-01-19,Founders Day,False,4.5,45
40,False,/7TF4p86ZafnxFuNqWdhpHXFO244.jpg,"[18, 80]",769,en,GoodFellas,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",90.1712,/aKuFiU82s5ISJpGZp7YkIr3kCUd.jpg,1990-09-12,GoodFellas,False,8.455,13332
41,False,/3xKJ0nyUTlySmMBCpOcsuSnFPI1.jpg,"[27, 9648]",1232546,en,Until Dawn,"One year after her sister Melanie mysteriously disappeared, Clover and her friends head into the remote valley where she vanished in search of answers. Exploring an abandoned visitor center, they find themselves stalked by a masked killer and horrifically murdered one by one…only to wake up and find themselves back at the beginning of the same evening.",84.7495,/6O9nkcmZBymDXtxOGJmulqcxJdv.jpg,2025-04-23,Until Dawn,False,6.448,96
42,False,/lNQD8NdJ37winY0xEwjp9hUFqLX.jpg,"[16, 10751]",1189423,en,The Sloth Lane,"After a terrifying storm destroys their home, a speedy sloth named Laura and her kooky family move to the big city in their rusted old food truck, Gordito, hoping to make their business a success. The family's delicious food catches the eye of a quick-witted cheetah who will stop at nothing to revive her failing fast-food business.",87.3288,/toBN1A9AnhoUzXyu9gaVyQVJehp.jpg,2024-07-25,The Sloth Lane,False,6.321,14
43,False,/hNA73rnG4PjSwgojaC2gbO1f8Rt.jpg,"[878, 35, 12]",696506,en,Mickey 17,"Unlikely hero Mickey Barnes finds himself in the extraordinary circumstance of working for an employer who demands the ultimate commitment to the job… to die, for a living.",71.982,/edKpE9B5qN3e559OuMCLZdW1iBZ.jpg,2025-04-10,Mickey 17,False,6.909,1785
44,False,/hmMnCqNnHPvQhuxynSVAqQWmQVK.jpg,"[53, 9648, 18, 80]",346685,en,The Girl on the Train,"Rachel Watson, devastated by her recent divorce, spends her daily commute fantasizing about the seemingly perfect couple who live in a house that her train passes every day, until one morning she sees something shocking happen there and becomes entangled in the mystery that unfolds.",100.792,/AhTO2QWG0tug7yDoh0XoaMhPt3J.jpg,2016-10-05,The Girl on the Train,False,6.442,5774
45,False,/2TtpJq1PbeQ36E5FnHVX4O6hVvu.jpg,"[28, 53]",1125899,en,Cleaner,"When a group of radical activists take over an energy company's annual gala, seizing 300 hostages, an ex-soldier turned window cleaner suspended 50 storeys up on the outside of the building must save those trapped inside, including her younger brother.",73.5716,/mwzDApMZAGeYCEVjhegKvCzDX0W.jpg,2025-02-19,Cleaner,False,6.607,234
46,False,/eSVu1FvGPy86TDo4hQbpuHx55DJ.jpg,"[28, 12, 878]",700391,en,65,"65 million years ago, the only 2 survivors of a spaceship from Somaris that crash-landed on Earth, must fend off dinosaurs to reach the escape vessel in time before an imminent asteroid strike threatens to destroy the planet.",100.5492,/rzRb63TldOKdKydCvWJM8B6EkPM.jpg,2023-03-02,65,False,5.979,2535
47,False,/g9ROrZey0JYp7kf8DoAyZtKnObj.jpg,[27],377,en,A Nightmare on Elm Street,"Teenagers in a small town are dropping like flies, apparently in the grip of mass hysteria causing their suicides. A cop's daughter, Nancy Thompson, traces the cause to child molester Fred Krueger, who was burned alive by angry parents many years before. Krueger has now come back in the dreams of his killers' children, claiming their lives as his revenge. Nancy and her boyfriend, Glen, must devise a plan to lure the monster out of the realm of nightmares and into the real world...",86.924,/wGTpGGRMZmyFCcrY2YoxVTIBlli.jpg,2008-10-03,A Nightmare on Elm Street,False,7.333,5297
48,False,/qiVrapzgrDO7c6yQTSvn0dhwsn8.jpg,"[10749, 18]",1252309,es,Pídeme lo que quieras,"After his father's death, Eric Zimmerman travels to Spain to oversee his company's branches. In Madrid, he falls for Judith and engage in an intense, erotic relationship full of exploration. However, Eric fears his secret may end their affair.",73.9414,/k82T5L1utX1G2LhNWeza9nGUKPk.jpg,2024-11-29,Ask Me What You Want,False,5.931,152
49,False,/hwlyY7LJdEFbCPaGNXiskKKmJ5X.jpg,"[28, 53]",1126166,en,Flight Risk,"A U.S. Marshal escorts a government witness to trial after he's accused of getting involved with a mob boss, only to discover that the pilot who is transporting them is also a hitman sent to assassinate the informant. After they subdue him, they're forced to fly together after discovering that there are others attempting to eliminate them.",73.9374,/q0bCG4NX32iIEsRFZqRtuvzNCyZ.jpg,2025-01-22,Flight Risk,False,6.108,664
50,False,/xb9wpY31SeVZbfkevYuolhfV63w.jpg,"[10751, 14]",447273,en,Snow White,"Following the benevolent King's disappearance, the Evil Queen dominated the once fair land with a cruel streak. Princess Snow White flees the castle when the Queen, in her jealousy over Snow White's inner beauty, tries to kill her. Deep into the dark woods, she stumbles upon seven magical dwarves and a young bandit named Jonathan. Together, they strive to survive the Queen's relentless pursuit and aspire to take back the kingdom in the process.",73.2387,/oLxWocqheC8XbXbxqJ3x422j9PW.jpg,2025-03-19,Snow White,False,4.6,598
51,False,/xpTHHojJnJQgavgMw5OQYUzuNIU.jpg,"[27, 9648]",2667,en,The Blair Witch Project,"In October of 1994 three student filmmakers disappeared in the woods near Burkittsville, Maryland, while shooting a documentary. A year later their footage was found.",54.1612,/9050VGrYjYrEjpOvDZVAngLbg1f.jpg,2016-10-11,The Blair Witch Project,False,6.351,5008
52,False,/1xhcEecvRJXQ2OAVO7l9btlrN6D.jpg,"[27, 878]",667216,en,Infinity Pool,"While staying at an isolated island resort, James and Em are enjoying a perfect vacation of pristine beaches, exceptional staff, and soaking up the sun. But guided by the seductive and mysterious Gabi, they venture outside the resort grounds and find themselves in a culture filled with violence, hedonism, and untold horror. A tragic accident leaves them facing a zero tolerance policy for crime: either you'll be executed, or, if you’re rich enough to afford it, you can watch yourself die instead.",59.6157,/cQKyNm0Nz6KWiDBQF9w4aZAmOfC.jpg,2023-01-27,Infinity Pool,False,6.063,854
53,False,/QNo0appKGKLAsBXVkU64fXwOtj.jpg,[27],1321952,es,Tu Sangre,"My mother vanished inside the boarding school where she worked. Through a Ouija board, she told me to look for her. My name is Sofia. I'm 14 years old and I'm going to enroll at the boarding school to find the body of my mother.",71.6696,/kYbd7M1dk2xadHd2WczQRmO28uJ.jpg,2024-10-31,"Sofia, the Possession",False,7.429,7
54,False,/lljZTHeXJ3mNt3IC5Kh7MPXVKeZ.jpg,"[27, 35, 14]",1201176,en,Easter Bloody Easter,A woman must protect her small town from the Jackalope (based on the mythical rabbit-antelope creature of North American folklore) and his army of devilish bunnies as they embark on a murder spree over the Easter weekend.,57.7829,/8tGYZlPttiOjEe61GvszRcrnpEi.jpg,2024-03-25,Easter Bloody Easter,False,4.5,6
55,False,/tPpYGm2mVecue7Bk3gNVoSPA5qn.jpg,"[28, 12, 878, 18]",315635,en,Spider-Man: Homecoming,"Following the events of Captain America: Civil War, Peter Parker, with the help of his mentor Tony Stark, tries to balance his life as an ordinary high school student in Queens, New York City, with fighting crime as his superhero alter ego Spider-Man as a new threat, the Vulture, emerges.",61.716,/c24sv2weTHPsmDa7jEMN0m2P3RT.jpg,2017-07-05,Spider-Man: Homecoming,False,7.331,22170
56,False,/jEVli6w9HNFjVMwJyzNH2bPMx7G.jpg,"[27, 53]",343674,en,Gerald's Game,"When her husband's sex game goes wrong, Jessie (who is handcuffed to a bed in a remote lake house) faces warped visions, dark secrets and a dire choice.",90.3732,/32dippiypDdaKv7XFEfUlQ7kPup.jpg,2017-09-29,Gerald's Game,False,6.394,3714
57,False,/ibF5XVxTzf1ayzZrmiJqgeQ39Qk.jpg,"[28, 10752]",1373723,en,The Codes of War,"War stories about family, ethics and honor include the true story of two U.S. Marines who in a span of six seconds, must stand their ground to stop a suicide truck bomb, a Navy Corpsman who attempts to hold on to his humanity, and a WW2 soldier who gets separated from his squad and is forced to re-evaluate his code.",63.8189,/oXeiQAfRK90pxxhP5iKPXQqAIN1.jpg,2025-03-20,The Codes of War,False,6.2,59
58,False,/by8z9Fe8y7p4jo2YlW2SZDnptyT.jpg,"[28, 35, 878]",533535,en,Deadpool & Wolverine,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.",67.4983,/8cdWjvZQUExUUTzyp4t6EDMubfO.jpg,2024-07-25,Deadpool & Wolverine,False,7.599,7141
59,False,/9nhjGaFLKtddDPtPaX5EmKqsWdH.jpg,"[10749, 878, 53]",950396,en,The Gorge,"Two highly-trained operatives are appointed to posts in guard towers on opposite sides of a vast and highly classified gorge, protecting the world from an undisclosed, mysterious evil that lurks within. They bond from a distance while trying to stay vigilant in defending against an unseen enemy. When the cataclysmic threat to humanity is revealed to them, they must work together in a test of both their physical and mental strength to keep the secret in the gorge before it’s too late.",68.5436,/7iMBZzVZtG0oBug4TfqDb9ZxAOa.jpg,2025-02-14,The Gorge,False,7.727,2482
