,Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,Canceled_Rides_by_Customer,Canceled_Rides_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Payment_Method,Ride_Distance,Driver_Ratings,Customer_Rating,Vehicle Images
0,26-07-2024 14:00,14:00:00,CNR7153255142,Canceled by Driver,CID713523,Prime Sedan,Tumkur Road,RT Nagar,No Reason,Personal & Car related issue,,,444,,0,,,#NAME?
1,25-07-2024 22:20,22:20:00,CNR2940424040,Success,CID225428,Bike,Magadi Road,Varthur,No Reason,No Reason,No,,158,Cash,13,4.1,4.0,#NAME?
2,30-07-2024 19:59,19:59:00,CNR2982357879,Success,CID270156,Prime SUV,Sahakar Nagar,Varthur,No Reason,No Reason,No,,386,UPI,40,4.2,4.8,#NAME?
3,22-07-2024 03:15,03:15:00,CNR2395710036,Canceled by Customer,CID581320,eBike,HSR Layout,Vijayanagar,Driver is not moving towards pickup location,No Reason,,,384,,0,,,#NAME?
4,02-07-2024 09:02,09:02:00,CNR1797421769,Success,CID939555,Mini,Rajajinagar,Chamarajpet,No Reason,No Reason,No,,822,Credit Card,45,4.0,3.0,#NAME?
5,13-07-2024 04:42,04:42:00,CNR8787177882,Success,CID802429,Mini,Kadugodi,Vijayanagar,No Reason,No Reason,No,,173,UPI,41,3.4,4.6,#NAME?
6,23-07-2024 09:51,09:51:00,CNR3612067560,Success,CID476071,Bike,Tumkur Road,Whitefield,No Reason,No Reason,No,,140,Cash,49,3.2,4.5,#NAME?
7,11-07-2024 11:12,11:12:00,CNR5374902489,Canceled by Driver,CID735691,Prime Plus,Bannerghatta Road,Sarjapur Road,No Reason,Personal & Car related issue,,,344,,0,,,#NAME?
8,01-07-2024 19:19,19:19:00,CNR5030602354,Driver Not Found,CID999840,Mini,Chamarajpet,Peenya,No Reason,No Reason,,,839,,0,,,#NAME?
9,18-07-2024 01:31,01:31:00,CNR6328453219,Canceled by Driver,CID907133,Auto,RT Nagar,Varthur,No Reason,Personal & Car related issue,,,893,,0,,,#NAME?
10,29-07-2024 23:33,23:33:00,CNR4787583516,Success,CID923404,Prime Plus,Hosur Road,Jayanagar,No Reason,No Reason,No,,164,Cash,46,4.5,3.4,#NAME?
